swimmer,team,gender,class_yr,points,season
"Altaweel, William M",Carleton,Male,FR,545.4,2017-2018
"Battiste, Alexander",Carleton,Male,JR,591.35,2017-2018
"Belzer, Tristan A",Carleton,Male,FR,488.05,2017-2018
"Chang, Andrew",Carleton,Male,FR,590.05,2017-2018
"Conati, Ari F",Carleton,Male,SO,528.85,2017-2018
"Dalluge, Jacob A",Carleton,Male,SO,648.75,2017-2018
"Darwish, Sam",Carleton,Male,SO,586.6,2017-2018
"Fitch, Stephen D",Carleton,Male,FR,619.3,2017-2018
"Greenvall, Benjamin",Carleton,Male,JR,565.7,2017-2018
"Heinzel, John",Carleton,Male,FR,574,2017-2018
"Hernandez, Oscar",Carleton,Male,FR,205.74,2017-2018
"Heuchert, Christian H",Carleton,Male,SO,461.1,2017-2018
"Lee, Grant H",Carleton,Male,FR,478.95,2017-2018
"Lekki, Spencer",Carleton,Male,FR,485.55,2017-2018
"Meyer, Eric",Carleton,Male,SO,517.35,2017-2018
"Mikolchak, Alex",Carleton,Male,FR,376.45,2017-2018
"Peters, Logan",Carleton,Male,FR,377,2017-2018
"Reeves, Nick",Carleton,Male,SO,606.7,2017-2018
"Soehnlin, Jeremy R",Carleton,Male,FR,361.73,2017-2018
"Stahl, Axel",Carleton,Male,FR,370,2017-2018
"Wetzel, Ryan M",Carleton,Male,SO,553.95,2017-2018
"Winter, Jacob H",Carleton,Male,FR,567.65,2017-2018
"Zheng, Alan",Carleton,Male,SO,342.2,2017-2018
"Aylward, Hannah E",Carleton,Female,JR,535.45,2017-2018
"Bergman, Meredith",Carleton,Female,JR,498.1,2017-2018
"Conn, Josephine M",Carleton,Female,FR,404.95,2017-2018
"Culver, Emily L",Carleton,Female,SR,489.6,2017-2018
"Dowling, Eveline",Carleton,Female,JR,531,2017-2018
"Dyke, Erin",Carleton,Female,FR,481.97,2017-2018
"Emmons, Madeleine",Carleton,Female,SO,322.05,2017-2018
"Fraser-Mines, Kyle",Carleton,Female,FR,572.55,2017-2018
"Gergely, Anna",Carleton,Female,JR,535.05,2017-2018
"Grossman, Katherine R",Carleton,Female,FR,562.5,2017-2018
"Lachman, Margaret",Carleton,Female,FR,514.05,2017-2018
"Lederer, Emma E",Carleton,Female,SO,564.8,2017-2018
"Lester, Anisa",Carleton,Female,SR,574.8,2017-2018
"Manivel, Marcella A",Carleton,Female,FR,506.7,2017-2018
"Marks, Emily",Carleton,Female,SR,471.25,2017-2018
"Marshall, Grace E",Carleton,Female,SO,441.4,2017-2018
"Mather, Caroline",Carleton,Female,JR,673.1,2017-2018
"Mayer, Morgan Y",Carleton,Female,SO,607.75,2017-2018
"McGinn, Anna",Carleton,Female,SR,308.95,2017-2018
"Meyer, Ada L",Carleton,Female,SO,603.75,2017-2018
"Schrom, Marly",Carleton,Female,JR,437.85,2017-2018
"Shin, Alexandra",Carleton,Female,SR,463.5,2017-2018
"Showers, Cora L",Carleton,Female,SO,422.7,2017-2018
"Whyte, Morgan M",Carleton,Female,SO,441,2017-2018
"Arnold, Lauren E",Concordia-Moorhead,Female,JR,390.22,2017-2018
"Backes, Anna",Concordia-Moorhead,Female,FR,541,2017-2018
"Dehnke, Alaina R",Concordia-Moorhead,Female,JR,468.6,2017-2018
"Donley, Anna M",Concordia-Moorhead,Female,FR,179.55,2017-2018
"Larson, Lydia",Concordia-Moorhead,Female,SO,433.7,2017-2018
"MARCUS, ALLISON",Concordia-Moorhead,Female,FR,460.9,2017-2018
"Murray, Hannah",Concordia-Moorhead,Female,FR,397.15,2017-2018
"O'Connell, Ann Marie",Concordia-Moorhead,Female,SR,452.1,2017-2018
"Templeton, Jordyn",Concordia-Moorhead,Female,JR,323.75,2017-2018
"Warren, Amy",Concordia-Moorhead,Female,FR,547.15,2017-2018
"White, Ciara",Concordia-Moorhead,Female,JR,521.05,2017-2018
"Bragg, William D",Gustavus,Male,SR,505.45,2017-2018
"Brazel, Nicholas J",Gustavus,Male,JR,310.15,2017-2018
"Christianson, Mack A",Gustavus,Male,FR,657.15,2017-2018
"Clark, William",Gustavus,Male,SO,560.85,2017-2018
"Dawson, Zachariah A",Gustavus,Male,SO,660.5,2017-2018
"DeSutter, Ben J",Gustavus,Male,JR,528.4,2017-2018
"Deyak, Sam",Gustavus,Male,FR,562.45,2017-2018
"Fairbanks, Riley L",Gustavus,Male,JR,593.85,2017-2018
"Fitzloff, Thomas R",Gustavus,Male,FR,565.35,2017-2018
"Knutsen, Erik",Gustavus,Male,JR,456.9,2017-2018
"Larson, Nolan H",Gustavus,Male,FR,707.3,2017-2018
"Long, Jacob C",Gustavus,Male,FR,492.78,2017-2018
"Losinski, Andres P",Gustavus,Male,FR,448.75,2017-2018
"Muntifering, Joshua",Gustavus,Male,FR,630.75,2017-2018
"Nimke, Scott D",Gustavus,Male,JR,516.05,2017-2018
"Orsten, Darren R",Gustavus,Male,FR,389.4,2017-2018
"Peters, Andrew R",Gustavus,Male,JR,623.1,2017-2018
"Schumann, Thomas L",Gustavus,Male,JR,453.15,2017-2018
"Sklar, Ryan P",Gustavus,Male,SO,619.4,2017-2018
"Sonnek, Tanner J",Gustavus,Male,JR,726.5,2017-2018
"Timbers, Logan",Gustavus,Male,FR,425.25,2017-2018
"Torvik, Caleb L",Gustavus,Male,JR,529.85,2017-2018
"Veness, Jacob T",Gustavus,Male,FR,474.65,2017-2018
"Wallock, Anders",Gustavus,Male,SR,550.3,2017-2018
"Winter, Connor D",Gustavus,Male,SO,536.45,2017-2018
"Zobitz, Frankie J",Gustavus,Male,JR,568.85,2017-2018
"Adile, Vatsala",Gustavus,Female,SO,425.25,2017-2018
"Auran, Hailey R",Gustavus,Female,FR,591,2017-2018
"Bjorklund, Amelia L",Gustavus,Female,FR,576.55,2017-2018
"Boonstra, Megan R",Gustavus,Female,SR,553.15,2017-2018
"Bowar, Kyra",Gustavus,Female,FR,440.65,2017-2018
"Brostrom, Katherine",Gustavus,Female,FR,511.65,2017-2018
"Carlson, Grace M",Gustavus,Female,JR,463,2017-2018
"Chuah, Ruth A",Gustavus,Female,FR,550,2017-2018
"Coats, Cassidy",Gustavus,Female,JR,433.5,2017-2018
"Erson, Macy A",Gustavus,Female,FR,489.29,2017-2018
"Feldhake, Nicole J",Gustavus,Female,FR,472.75,2017-2018
"Granholm, Alyssa K",Gustavus,Female,FR,196.15,2017-2018
"Gunderson, Katherine G",Gustavus,Female,FR,457.25,2017-2018
"Hallmark, Sydney R",Gustavus,Female,JR,613.35,2017-2018
"Harper, Meghan K",Gustavus,Female,FR,516.05,2017-2018
"Holwerda, Kennedy M",Gustavus,Female,SR,654,2017-2018
"Iverson, Ingrid L",Gustavus,Female,SO,506.6,2017-2018
"Johns, Marietta L",Gustavus,Female,FR,491.05,2017-2018
"Johnson, Leah C",Gustavus,Female,SR,480.35,2017-2018
"Kohorst, Alyssa",Gustavus,Female,FR,610.4,2017-2018
"Korshus, Cloe E",Gustavus,Female,FR,459.15,2017-2018
"Link, Sarah K",Gustavus,Female,JR,379.45,2017-2018
"Lohman, Emma G",Gustavus,Female,FR,472.75,2017-2018
"Lokensgard, Alyssa",Gustavus,Female,SO,608.6,2017-2018
"Lund, Rachel E",Gustavus,Female,JR,357.92,2017-2018
"Mattson, Abigail N",Gustavus,Female,FR,366.05,2017-2018
"Mayfield, Alison",Gustavus,Female,SO,547.4,2017-2018
"McGhee, Perry L",Gustavus,Female,JR,442.25,2017-2018
"Pesik, Haley L",Gustavus,Female,JR,625,2017-2018
"Pokornowski, Hana L",Gustavus,Female,FR,563.8,2017-2018
"Reilly, Kathleen T",Gustavus,Female,SR,687.2,2017-2018
"Saari, Emily M",Gustavus,Female,FR,445.4,2017-2018
"Simms, Michelle A",Gustavus,Female,JR,469,2017-2018
"Teichmiller, Hailey",Gustavus,Female,SO,542.25,2017-2018
"Thate, Rachel M",Gustavus,Female,SO,571.65,2017-2018
"Webster, Margaret B",Gustavus,Female,JR,704.85,2017-2018
"Westendorp, Madeline R",Gustavus,Female,SO,563.95,2017-2018
"Anderson, Ben M",Hamline,Male,FR,460.55,2017-2018
"Berg, Adam E",Hamline,Male,JR,589.6,2017-2018
"Bloom, Zachary A",Hamline,Male,JR,469.2,2017-2018
"Breheim, Gregory",Hamline,Male,SO,523.65,2017-2018
"Campbell, Joseph",Hamline,Male,SR,571.4,2017-2018
"Carsen, Max A",Hamline,Male,FR,482,2017-2018
"Clay, Cody A",Hamline,Male,JR,549.15,2017-2018
"Fleming, Dennis R",Hamline,Male,SO,421.75,2017-2018
"Gorman, Hodd H",Hamline,Male,SR,682.4,2017-2018
"Grivna, Nicholas L",Hamline,Male,FR,633.35,2017-2018
"Hanlon, Nicholas",Hamline,Male,SO,451.25,2017-2018
"Hanson, Isaac V",Hamline,Male,FR,560.7,2017-2018
"Hobar, Andrew",Hamline,Male,FR,568.95,2017-2018
"McGee, William G",Hamline,Male,JR,503.7,2017-2018
"Roback, Lee M",Hamline,Male,FR,476.75,2017-2018
"Boulanger, Mara J",Hamline,Female,JR,469.55,2017-2018
"Ealy, Samantha A",Hamline,Female,JR,357.55,2017-2018
"Elgarten, Taylor",Hamline,Female,SR,367.7,2017-2018
