swimmer,team,gender,class_yr,points,season
"Anderson, Hans",Carleton,Male,SO,–,2023-2024
"Bronstone, Aaron M",Carleton,Male,JR,590.15,2023-2024
"Chang, Nicholas J",Carleton,Male,SO,567.65,2023-2024
"Clausman, William M",Carleton,Male,SO,535.95,2023-2024
"Eldridge, Collin C",Carleton,Male,JR,521.80,2023-2024
"Glaubitz, Flaminio S",Carleton,Male,JR,632.05,2023-2024
"Hill, Theodore D",Carleton,Male,FR,452.25,2023-2024
"Jalili, Aidan A",Carleton,Male,JR,520.85,2023-2024
"Jia, Byron",Carleton,Male,JR,540.00,2023-2024
"Johnson, Aiden J",Carleton,Male,FR,551.50,2023-2024
"Kong, Jeffrey",Carleton,Male,SO,594.45,2023-2024
"Kozak, Warren",Carleton,Male,FR,557.95,2023-2024
"Krogman, Matthew D",Carleton,Male,FR,552.45,2023-2024
"Lee, Alexander",Carleton,Male,FR,580.45,2023-2024
"Lee, Noah Zameer",Carleton,Male,FR,555.40,2023-2024
"Lee, Sebastian",Carleton,Male,SR,–,2023-2024
"Maring, Christopher T",Carleton,Male,JR,506.35,2023-2024
"Rankin, Jackson J",Carleton,Male,FR,622.60,2023-2024
"Rosseel, John G",Carleton,Male,FR,600.25,2023-2024
"Ruppe, Charlie F",Carleton,Male,SO,470.00,2023-2024
"Scott, Ian P",Carleton,Male,JR,606.55,2023-2024
"Serota, Maxwell B",Carleton,Male,JR,480.65,2023-2024
"Smith, Sean E",Carleton,Male,JR,579.95,2023-2024
"Tan, William S",Carleton,Male,FR,416.00,2023-2024
"Tun, Ethan",Carleton,Male,JR,617.95,2023-2024
"Wonacott, Rhys P",Carleton,Male,JR,394.90,2023-2024
"Wu, Joshua L",Carleton,Male,JR,639.45,2023-2024
"Ashland, Bryn",Carleton,Female,FR,520.75,2023-2024
"Baranov, Stephanie V",Carleton,Female,SO,553.60,2023-2024
"Crampton, Caroline H",Carleton,Female,JR,522.50,2023-2024
"Drummond, Jenna D",Carleton,Female,JR,549.60,2023-2024
"Fields, Clara D",Carleton,Female,FR,342.55,2023-2024
"Hebard, Eleanor J",Carleton,Female,SO,566.76,2023-2024
"Hou, Grace J",Carleton,Female,FR,594.75,2023-2024
"Johnson, Aleia",Carleton,Female,JR,473.90,2023-2024
"Johnson, Lily R",Carleton,Female,FR,476.55,2023-2024
"Kalb-Bourke, Susannah",Carleton,Female,FR,346.15,2023-2024
"Marks, Abigail R",Carleton,Female,JR,480.20,2023-2024
"Morton, Zoe",Carleton,Female,SO,600.66,2023-2024
"Nagpal, Jivana",Carleton,Female,JR,373.90,2023-2024
"Riley, Isabelle C",Carleton,Female,JR,515.00,2023-2024
"Roh, Ava",Carleton,Female,FR,431.10,2023-2024
"Russell, Brenna",Carleton,Female,JR,–,2023-2024
"SACHS, AVIVA T",Carleton,Female,SO,452.20,2023-2024
"Shaker, Ava",Carleton,Female,FR,501.30,2023-2024
"Sheridan, Samantha K",Carleton,Female,JR,514.25,2023-2024
