swimmer,team,gender,class_yr,points,season
"Anderson, Hans",Carleton,Male,JR,NA,2024-2025
"Banse, Aaron C",Carleton,Male,SR,408.2,2024-2025
"Bronstone, Aaron M",Carleton,Male,SR,NA,2024-2025
"Chang, Nicholas J",Carleton,Male,JR,535.95,2024-2025
"Chen, Xingzhe",Carleton,Male,FR,508.4,2024-2025
"Clausman, William M",Carleton,Male,JR,545.9,2024-2025
"Eldridge, Collin C",Carleton,Male,SR,535.9,2024-2025
"Glaubitz, Flaminio S",Carleton,Male,SR,NA,2024-2025
"Hill, Theodore D",Carleton,Male,SO,463.4,2024-2025
"Jalili, Aidan A",Carleton,Male,SR,521.4,2024-2025
"Jia, Byron",Carleton,Male,SR,NA,2024-2025
"Johnson, Aiden J",Carleton,Male,SO,491.3,2024-2025
"Kong, Jeffrey",Carleton,Male,JR,530.2,2024-2025
"Kozak, Warren",Carleton,Male,SO,549.4,2024-2025
"Krogman, Matthew D",Carleton,Male,SO,561.05,2024-2025
"Lee, Alexander",Carleton,Male,SO,552.1,2024-2025
"Lee, Noah Zameer",Carleton,Male,SO,506.55,2024-2025
"Lee, Sebastian",Carleton,Male,NA,NA,2024-2025
"Lindholm, Jesse",Carleton,Male,SO,NA,2024-2025
"Maring, Christopher T",Carleton,Male,SR,482.95,2024-2025
"Petricka, Leif A",Carleton,Male,FR,558.5,2024-2025
"Rankin, Jackson J",Carleton,Male,SO,575.2,2024-2025
"Rose, Gabriel",Carleton,Male,FR,459.7,2024-2025
"Rosseel, John G",Carleton,Male,SO,530.15,2024-2025
"Ruppe, Charlie F",Carleton,Male,JR,NA,2024-2025
"Scott, Ian P",Carleton,Male,SR,NA,2024-2025
"Serota, Maxwell B",Carleton,Male,SR,482.7,2024-2025
"Smith, Sean E",Carleton,Male,SR,504.25,2024-2025
"Tan, William S",Carleton,Male,SO,408.6,2024-2025
"Tun, Ethan",Carleton,Male,SR,593.3,2024-2025
"Wonacott, Rhys P",Carleton,Male,SR,363.45,2024-2025
"Wu, Joshua L",Carleton,Male,SR,NA,2024-2025
"Zhang, Nathan",Carleton,Male,SO,512.75,2024-2025
"Zhao, Aaron",Carleton,Male,FR,452.4,2024-2025
"Andersen, Chelsea",Carleton,Female,FR,579.75,2024-2025
"Ashland, Bryn",Carleton,Female,SO,504.05,2024-2025
"Baranov, Stephanie V",Carleton,Female,JR,537.45,2024-2025
"Carpenter, Anne L",Carleton,Female,NA,NA,2024-2025
"Combs, Rose",Carleton,Female,NA,382.3,2024-2025
"Crampton, Caroline H",Carleton,Female,SR,510.95,2024-2025
"Drummond, Jenna D",Carleton,Female,SR,515.95,2024-2025
"Fields, Clara D",Carleton,Female,SO,325.5,2024-2025
"Garrity, Lauren P",Carleton,Female,JR,NA,2024-2025
"Grogan, Ella A",Carleton,Female,FR,530.1,2024-2025
"Hebard, Eleanor J",Carleton,Female,JR,477.82,2024-2025
"Heintz, Gretchen J",Carleton,Female,FR,420.45,2024-2025
"Hofmann, Clara M",Carleton,Female,FR,469.05,2024-2025
"Hou, Grace J",Carleton,Female,SO,559.3,2024-2025
"Johnson, Aleia",Carleton,Female,SR,NA,2024-2025
"Johnson, Lily R",Carleton,Female,SO,484.5,2024-2025
"Kalb-Bourke, Susannah",Carleton,Female,SO,385.2,2024-2025
"Lamberts, Clara L",Carleton,Female,FR,381.65,2024-2025
"Li, Yi Han",Carleton,Female,NA,428.55,2024-2025
"Marks, Abigail R",Carleton,Female,SR,422.85,2024-2025
"Martin del Campo, Lulu R",Carleton,Female,FR,413.46,2024-2025
"Morton, Zoe",Carleton,Female,JR,551.6,2024-2025
"Nagpal, Jivana",Carleton,Female,SR,393.85,2024-2025
"Riley, Isabelle C",Carleton,Female,SR,489.3,2024-2025
"Roh, Ava",Carleton,Female,SO,463.35,2024-2025
