swimmer,team,gender,class_yr,points,season
"Anderson, Hans",Carleton,Male,JR,–,2024-2025
"Banse, Aaron C",Carleton,Male,SR,408.20,2024-2025
"Bronstone, Aaron M",Carleton,Male,SR,–,2024-2025
"Chang, Nicholas J",Carleton,Male,JR,582.35,2024-2025
"Chen, Xingzhe",Carleton,Male,FR,508.40,2024-2025
"Clausman, William M",Carleton,Male,JR,545.90,2024-2025
"Eldridge, Collin C",Carleton,Male,SR,547.45,2024-2025
"Glaubitz, Flaminio S",Carleton,Male,SR,–,2024-2025
"Hill, Theodore D",Carleton,Male,SO,463.40,2024-2025
"Jalili, Aidan A",Carleton,Male,SR,527.65,2024-2025
"Jia, Byron",Carleton,Male,SR,–,2024-2025
"Johnson, Aiden J",Carleton,Male,SO,528.40,2024-2025
"Kong, Jeffrey",Carleton,Male,JR,577.35,2024-2025
"Kozak, Warren",Carleton,Male,SO,585.90,2024-2025
"Krogman, Matthew D",Carleton,Male,SO,603.45,2024-2025
"Lee, Alexander",Carleton,Male,SO,552.10,2024-2025
"Lee, Noah Zameer",Carleton,Male,SO,525.15,2024-2025
"Lee, Sebastian",Carleton,Male,–,–,2024-2025
"Lindholm, Jesse",Carleton,Male,SO,–,2024-2025
"Maring, Christopher T",Carleton,Male,SR,491.40,2024-2025
"Petricka, Leif A",Carleton,Male,FR,591.30,2024-2025
"Rankin, Jackson J",Carleton,Male,SO,614.55,2024-2025
"Rose, Gabriel",Carleton,Male,FR,459.70,2024-2025
"Rosseel, John G",Carleton,Male,SO,556.95,2024-2025
"Ruppe, Charlie F",Carleton,Male,JR,–,2024-2025
"Scott, Ian P",Carleton,Male,SR,–,2024-2025
"Serota, Maxwell B",Carleton,Male,SR,482.70,2024-2025
"Smith, Sean E",Carleton,Male,SR,568.15,2024-2025
"Tan, William S",Carleton,Male,SO,438.10,2024-2025
"Tun, Ethan",Carleton,Male,SR,621.95,2024-2025
"Wonacott, Rhys P",Carleton,Male,SR,363.45,2024-2025
"Wu, Joshua L",Carleton,Male,SR,–,2024-2025
"Zhang, Nathan",Carleton,Male,SO,549.75,2024-2025
"Zhao, Aaron",Carleton,Male,FR,484.50,2024-2025
"Andersen, Chelsea",Carleton,Female,FR,599.70,2024-2025
"Ashland, Bryn",Carleton,Female,SO,571.95,2024-2025
"Baranov, Stephanie V",Carleton,Female,JR,594.15,2024-2025
"Carpenter, Anne L",Carleton,Female,–,–,2024-2025
"Combs, Rose",Carleton,Female,–,382.30,2024-2025
"Crampton, Caroline H",Carleton,Female,SR,542.70,2024-2025
"Drummond, Jenna D",Carleton,Female,SR,529.50,2024-2025
"Fields, Clara D",Carleton,Female,SO,325.50,2024-2025
"Garrity, Lauren P",Carleton,Female,JR,–,2024-2025
"Grogan, Ella A",Carleton,Female,FR,532.70,2024-2025
"Hebard, Eleanor J",Carleton,Female,JR,477.82,2024-2025
"Heintz, Gretchen J",Carleton,Female,FR,420.45,2024-2025
"Hofmann, Clara M",Carleton,Female,FR,469.05,2024-2025
"Hou, Grace J",Carleton,Female,SO,599.75,2024-2025
"Johnson, Aleia",Carleton,Female,SR,–,2024-2025
"Johnson, Lily R",Carleton,Female,SO,501.50,2024-2025
"Kalb-Bourke, Susannah",Carleton,Female,SO,385.20,2024-2025
"Lamberts, Clara L",Carleton,Female,FR,381.65,2024-2025
"Li, Yi Han",Carleton,Female,–,428.55,2024-2025
"Marks, Abigail R",Carleton,Female,SR,458.05,2024-2025
"Martin del Campo, Lulu R",Carleton,Female,FR,413.46,2024-2025
"Morton, Zoe",Carleton,Female,JR,562.40,2024-2025
"Nagpal, Jivana",Carleton,Female,SR,393.85,2024-2025
"Riley, Isabelle C",Carleton,Female,SR,520.05,2024-2025
"Roh, Ava",Carleton,Female,SO,463.35,2024-2025
"Rosenberg, Ashley N",Carleton,Female,SR,–,2024-2025
"Russell, Brenna",Carleton,Female,SR,–,2024-2025
"SACHS, AVIVA T",Carleton,Female,JR,393.65,2024-2025
"Schwab, Nina R",Carleton,Female,FR,–,2024-2025
"Shaker, Ava",Carleton,Female,SO,475.70,2024-2025
"Sheridan, Samantha K",Carleton,Female,SR,–,2024-2025
"Soillis, Lillian M",Carleton,Female,FR,512.55,2024-2025
"Taraday, Lola S",Carleton,Female,JR,456.50,2024-2025
"Trackman, Alison J",Carleton,Female,JR,423.45,2024-2025
"Tran, Aubrey M",Carleton,Female,SO,478.00,2024-2025
"Tucker, Daya V",Carleton,Female,SO,544.65,2024-2025
"Westrup, Hailey J",Carleton,Female,SO,–,2024-2025
"Wong, Lily S",Carleton,Female,JR,518.80,2024-2025
"Wootten, Nora",Carleton,Female,SO,534.55,2024-2025
"Yao, Emma",Carleton,Female,SO,576.15,2024-2025
"Yu, Hope",Carleton,Female,JR,–,2024-2025
"Andersen, Rachel A",Concordia-Moorhead,Female,–,–,2024-2025
"Barlage, Madelyn",Concordia-Moorhead,Female,JR,339.15,2024-2025
"Baugh, Chea L",Concordia-Moorhead,Female,SO,–,2024-2025
"Bjorklund, Greta",Concordia-Moorhead,Female,–,247.30,2024-2025
"Bringle, Rachel",Concordia-Moorhead,Female,SR,334.30,2024-2025
"Darling, Kiernan",Concordia-Moorhead,Female,SR,–,2024-2025
"Enedy, Leah",Concordia-Moorhead,Female,FR,495.50,2024-2025
"Imholte, Haley",Concordia-Moorhead,Female,SR,365.75,2024-2025
"Jaeger, Hailey C",Concordia-Moorhead,Female,SR,526.20,2024-2025
"Juetten, Haley",Concordia-Moorhead,Female,JR,–,2024-2025
"McMullen, Amelia",Concordia-Moorhead,Female,–,–,2024-2025
"Metsala, Callie A",Concordia-Moorhead,Female,SO,588.15,2024-2025
"Moore, Christina J",Concordia-Moorhead,Female,JR,346.25,2024-2025
"Negri, Sydney",Concordia-Moorhead,Female,SO,–,2024-2025
"Nhantumbo, Royce",Concordia-Moorhead,Female,–,–,2024-2025
"Porter, Tinsley",Concordia-Moorhead,Female,JR,408.90,2024-2025
"Timm, Brienna",Concordia-Moorhead,Female,–,–,2024-2025
"Zwiefelhofer, Estella",Concordia-Moorhead,Female,FR,310.10,2024-2025
"Braley, Logan",Gustavus,Male,JR,616.80,2024-2025
"Carlson, Aiden C",Gustavus,Male,SO,668.85,2024-2025
"Cheema, Nihal S",Gustavus,Male,FR,416.00,2024-2025
"Christoferson, Jack E",Gustavus,Male,JR,527.55,2024-2025
"Collins, Brendan M",Gustavus,Male,SO,609.85,2024-2025
"Copple, Kade R",Gustavus,Male,–,–,2024-2025
"Cordano, Jonathan",Gustavus,Male,SR,602.85,2024-2025
"Cote, Mason J",Gustavus,Male,FR,571.25,2024-2025
"Cyr, Logan J",Gustavus,Male,SO,623.65,2024-2025
"Friedrichs, James J",Gustavus,Male,FR,421.60,2024-2025
"Gustafson, Finley",Gustavus,Male,FR,567.45,2024-2025
"Hemstad, Trygg D",Gustavus,Male,SO,374.05,2024-2025
"Hill, Nyden F",Gustavus,Male,SR,686.10,2024-2025
"Hoff, Alex R",Gustavus,Male,JR,–,2024-2025
"Jensen, Andrew Y",Gustavus,Male,–,–,2024-2025
"Johnson, Alex",Gustavus,Male,SR,498.20,2024-2025
"Johnson, Trevor D",Gustavus,Male,JR,–,2024-2025
"Kauffman, Tyler",Gustavus,Male,SO,513.20,2024-2025
"Kell, Benjamin T",Gustavus,Male,SO,577.20,2024-2025
"Kline, Carter",Gustavus,Male,FR,–,2024-2025
"Lester, Ryan",Gustavus,Male,SR,–,2024-2025
"Lillejord, Matthew T",Gustavus,Male,SO,598.75,2024-2025
"Lund, James D",Gustavus,Male,SO,–,2024-2025
"Malecha, Bryce",Gustavus,Male,–,–,2024-2025
"Matetich, Cole",Gustavus,Male,SR,–,2024-2025
"McCormick, Colin R",Gustavus,Male,FR,479.90,2024-2025
"Mellum, Leo R",Gustavus,Male,FR,445.45,2024-2025
"Metzger, Jacob J",Gustavus,Male,SR,528.55,2024-2025
"Moran, John",Gustavus,Male,JR,402.45,2024-2025
"Muench, Graham W",Gustavus,Male,SO,–,2024-2025
"Myers, Fred",Gustavus,Male,FR,564.95,2024-2025
"Nguyen, Marcus V",Gustavus,Male,SR,476.05,2024-2025
