name,team,gender,events,times,times2
"Tun, Ethan",Carleton,Male,100 Back,51.30,51.90
"Tun, Ethan",Carleton,Male,200 Breast,2:04.31,2:10.98
"Tun, Ethan",Carleton,Male,200 IM,1:55.13,1:57.44
"Rankin, Jackson",Carleton,Male,100 Back,55.85,55.34
"Rankin, Jackson",Carleton,Male,100 Fly,50.59,51.29
"Rankin, Jackson",Carleton,Male,200 Fly,1:53.43,1:57.18
"Krogman, Matthew",Carleton,Male,500 Free,4:49.34,4:57.75
"Krogman, Matthew",Carleton,Male,1650 Free,16:51.01,17:14.35
"Krogman, Matthew",Carleton,Male,400 IM,4:19.83,4:25.90
"Hou, Grace",Carleton,Female,100 Back,57.35,58.14
"Hou, Grace",Carleton,Female,200 Back,2:08.56,2:15.69
"Hou, Grace",Carleton,Female,100 Fly,58.53,1:00.17
"Andersen, Chelsea",Carleton,Female,200 Free,1:58.04,1:58.96
"Andersen, Chelsea",Carleton,Female,500 Free,5:11.08,5:16.38
"Andersen, Chelsea",Carleton,Female,1650 Free,17:53.48,18:01.35
"Baranov, Stephanie",Carleton,Female,500 Free,5:10.41,5:22.05
"Baranov, Stephanie",Carleton,Female,1650 Free,18:00.32,18:37.03
"Baranov, Stephanie",Carleton,Female,400 IM,4:41.75,4:55.61
"Metsala, Callie",Concordia-Moorhead,Female,100 Free,53.52,55.74
"Metsala, Callie",Concordia-Moorhead,Female,100 Fly,58.99,1:02.72
"Metsala, Callie",Concordia-Moorhead,Female,200 IM,2:13.40,2:17.93
"Jaeger, Hailey",Concordia-Moorhead,Female,50 Free,25.13,26.22
"Jaeger, Hailey",Concordia-Moorhead,Female,100 Free,55.45,57.59
"Jaeger, Hailey",Concordia-Moorhead,Female,100 Back,1:01.26,1:07.70
"Enedy, Leah",Concordia-Moorhead,Female,100 Breast,1:09.84,1:14.86
"Enedy, Leah",Concordia-Moorhead,Female,200 Breast,2:37.44,2:37.44
"Enedy, Leah",Concordia-Moorhead,Female,200 IM,2:22.29,2:26.96
"Ripken, Braden",Gustavus,Male,50 Free,20.95,21.43
"Ripken, Braden",Gustavus,Male,100 Free,46.55,48.22
"Ripken, Braden",Gustavus,Male,100 Breast,54.46,58.15
"Richardson, Peyton",Gustavus,Male,100 Fly,48.52,48.69
